caseId,randomFileName,formatId,formatName,group,method,selectedLayout,score,actionsToFix,estimatedCorrectionTimeSec,evaluatorId,sourceFile,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,case_001.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,scaling,scaling,1950,5,150,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Критическое наложение текста на графические элементы из-за экстремального сжатия контейнера
case_002,case_002.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Необходима незначительная доработка межстрочных интервалов и полей
case_003,case_003.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,candidateSelection,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Дублирует базовую схему; требуется ручная подгонка внутренних отступов
case_004,case_004.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Критическое перекрытие заголовка фоновым изображением без учета контрастности
case_005,case_005.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,fixedLayout,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Технически валидная заготовка, требуется минимальный сдвиг кнопки к краю"
case_006,case_006.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,candidateSelection,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Корректное распределение элементов в широком формате
case_007,case_007.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Искажений нет, пропорции и читаемость полностью сохранены"
case_008,case_008.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Элементы позиционированы корректно, разметка стабильна"
case_009,case_009.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Сборка выполнена без замечаний, макет готов к наполнению"
case_010,case_010.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Искажения отсутствуют, пропорции растра в пределах нормы"
case_011,case_011.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Вертикальный макет собран корректно, элементы не конфликтуют"
case_012,case_012.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Оптимальное заполнение вертикального формата, коллизий нет"
case_013,case_013.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Стандартный квадратный формат, пропорции элементов удержаны"
case_014,case_014.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Чистая структура без пересечения bounding box-ов
case_015,case_015.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Готовая заготовка, дефектов рендеринга не обнаружено"
case_016,case_016.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,"В узком формате текст вышел за границы макета, шрифты нечитаемы"
case_017,case_017.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Узкий формат обработан корректно, элементы выстроены в стек"
case_018,case_018.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Элементы спозиционированы по вертикали без наложений
case_019,case_019.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,scaling,scaling,1250,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Незначительное нарушение охранной зоны логотипа
case_020,case_020.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,fixedLayout,fixedLayout,150,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Элементы составного логотипа наложились друг на друга при сжатии холста
case_021,case_021.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,candidateSelection,hero,150,2,60,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Выбрана альтернативная стратегия hero; требуется корректировка полей знака
case_022,case_022.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,scaling,scaling,1950,5,150,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Критический оверлап основного УТП и фоновой подложки
case_023,case_023.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Требуется ручное выравнивание базовой линии текстовых блоков
case_024,case_024.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,candidateSelection,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Результат требует косметической доработки внутренних отступов контейнера
case_025,case_025.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,"Выход текстового блока за правое поле баннера, обрез контента"
case_026,case_026.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Нарушена иерархия размеров шрифтов, текст слишком мелкий"
case_027,case_027.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,candidateSelection,split,150,2,60,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Стратегия split разделила контент, требуется выравнивание текстового блока по центру"
case_028,case_028.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,scaling,scaling,450,1,30,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Легкое размытие и потеря четкости растрового фона при масштабировании
case_029,case_029.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Фоновое изображение кадрировано корректно
case_030,case_030.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Фон распределен без искажений геометрии
case_031,case_031.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Вертикальная композиция полностью стабильна
case_032,case_032.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Нарушений безопасных зон площадки не обнаружено
case_033,case_033.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Чистая структура вертикального баннера
case_034,case_034.png,2gis-search-bg-500x600,2ГИС Рекламный блок в поисковой выдаче: фон,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Квадратный фон адаптирован без артефактов растяжения
case_035,case_035.png,2gis-search-bg-500x600,2ГИС Рекламный блок в поисковой выдаче: фон,square,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Ошибок позиционирования слоев не зафиксировано
case_036,case_036.png,2gis-search-bg-500x600,2ГИС Рекламный блок в поисковой выдаче: фон,square,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Композиционный центр сохранен, дефекты отсутствуют"
case_037,case_037.png,yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,scaling,scaling,1250,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Избыточное пустое пространство в нижней трети макета
case_038,case_038.png,yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Узкий вертикальный макет собран по сетке без ошибок
case_039,case_039.png,yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Хорошая читаемость акцентных элементов и CTA
case_040,case_040.png,2gis-logo-range,2ГИС Логотип компании 132-3000,logo,scaling,scaling,1250,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Минорное нарушение безопасного отступа торгового знака
case_041,case_041.png,2gis-logo-range,2ГИС Логотип компании 132-3000,logo,fixedLayout,fixedLayout,150,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Наложение дескриптора на графическую часть товарного знака
case_042,case_042.png,2gis-logo-range,2ГИС Логотип компании 132-3000,logo,candidateSelection,hero,150,2,60,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Требуется ручное центрирование логотипа внутри охранного контейнера
case_043,case_043.png,yandex-rsy-320x50,Яндекс Директ / РСЯ Медийный баннер 320x50,small,scaling,scaling,1950,5,150,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Сплющивание и деформация шрифта по вертикальной оси
case_044,case_044.png,yandex-rsy-320x50,Яндекс Директ / РСЯ Медийный баннер 320x50,small,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Кегль шрифта на грани фола, требуется ручное увеличение межбуквенного интервала"
case_045,case_045.png,yandex-rsy-320x50,Яндекс Директ / РСЯ Медийный баннер 320x50,small,candidateSelection,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Элементы не пересекаются, но текст требует увеличения контрастности"
case_046,case_046.png,yandex-rsy-640x100-2x,Яндекс Директ / РСЯ Медийный баннер 640x100 (2x),wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Наложение слоев из-за ошибочного scale-коэффициента при ресайзе
case_047,case_047.png,yandex-rsy-640x100-2x,Яндекс Директ / РСЯ Медийный баннер 640x100 (2x),wide,fixedLayout,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Качественная стартовая заготовка, правок не требуется"
case_048,case_048.png,yandex-rsy-640x100-2x,Яндекс Директ / РСЯ Медийный баннер 640x100 (2x),wide,candidateSelection,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Элементы корректно распределены по всей ширине макета
case_049,case_049.png,2gis-partner-desktop-800x320,2ГИС Баннер в профиле партнера desktop,horizontal,scaling,scaling,1250,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Нарушен баланс правого и левого полей (заваливание композиции)
case_050,case_050.png,2gis-partner-desktop-800x320,2ГИС Баннер в профиле партнера desktop,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Сборка макета выполнена штатно, коллизий нет"
case_051,case_051.png,2gis-partner-desktop-800x320,2ГИС Баннер в профиле партнера desktop,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Четкое разделение графического и текстового блоков
case_052,case_052.png,2gis-story-810x1440,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Вертикальный формат сторис отработан без замечаний
case_053,case_053.png,2gis-story-810x1440,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Элементы позиционированы с учетом безопасных зон сверху и снизу
case_054,case_054.png,2gis-story-810x1440,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Сбалансированная вертикальная структура макета
case_055,case_055.png,avito-native-472x472,Авито Реклама Нативный баннер 1:1,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Нативный формат 1:1 собран корректно, искажений нет"
case_056,case_056.png,avito-native-472x472,Авито Реклама Нативный баннер 1:1,square,fixedLayout,fixedLayout,150,1,30,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Требуется косметическая правка отступов текстового блока
case_057,case_057.png,avito-native-472x472,Авито Реклама Нативный баннер 1:1,square,candidateSelection,imageTop,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Успешная отработка стратегии imageTop, хорошая композиция для карточки товара"
case_058,case_058.png,vk-community-145x145,VK Реклама / ВКонтакте Продвижение сообщества,logo,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Элементы миниатюры слились в единое нечитаемое пятно
case_059,case_059.png,vk-community-145x145,VK Реклама / ВКонтакте Продвижение сообщества,logo,fixedLayout,fixedLayout,150,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Текст полностью перекрыл графический маркер сообщества
case_060,case_060.png,vk-community-145x145,VK Реклама / ВКонтакте Продвижение сообщества,logo,candidateSelection,compact,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Кнопка действия расположена слишком близко к границе безопасной зоны
case_061,case_061.png,yandex-rsy-728x90,Яндекс Директ / РСЯ Медийный баннер 728x90,wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Перекрытие основного заголовка второстепенным описанием
case_062,case_062.png,yandex-rsy-728x90,Яндекс Директ / РСЯ Медийный баннер 728x90,wide,fixedLayout,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Удачная адаптация под горизонтальный медийный формат
case_063,case_063.png,yandex-rsy-728x90,Яндекс Директ / РСЯ Медийный баннер 728x90,wide,candidateSelection,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Плотное сжатие выполнено без потери читаемости символов
case_064,case_064.png,avito-display-720x240,Авито Реклама Медийный стандарт 3:1,horizontal,scaling,scaling,1250,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Избыточный трекинг шрифта, текст выглядит разреженным"
case_065,case_065.png,avito-display-720x240,Авито Реклама Медийный стандарт 3:1,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Композиция полностью стабильна, элементы на местах"
case_066,case_066.png,avito-display-720x240,Авито Реклама Медийный стандарт 3:1,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Зонирование контента выполнено без взаимных перекрытий
case_067,case_067.png,2gis-story-900x1600,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Дефектов отрисовки и наложения слоев не обнаружено
case_068,case_068.png,2gis-story-900x1600,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Полное соответствие техническим требованиям площадки размещения
case_069,case_069.png,2gis-story-900x1600,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Визуальные акценты макета расставлены корректно
case_070,case_070.png,ok-square-1080x1080,Одноклассники / myTarget Социальный квадрат 1:1,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Социальный квадрат собран без геометрических искажений
case_071,case_071.png,ok-square-1080x1080,Одноклассники / myTarget Социальный квадрат 1:1,square,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Элементы жестко зафиксированы по координатной сетке
case_072,case_072.png,ok-square-1080x1080,Одноклассники / myTarget Социальный квадрат 1:1,square,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Готовый технический макет, артефактов нет"
case_073,case_073.png,vk-teaser-large-145x165,VK Реклама / ВКонтакте Тизер большое изображение,logo,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Графическая иконка тизера перекрыла текстовый контейнер
case_074,case_074.png,vk-teaser-large-145x165,VK Реклама / ВКонтакте Тизер большое изображение,logo,fixedLayout,fixedLayout,150,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Текстовый блок вышел за нижний обрез баннера
case_075,case_075.png,vk-teaser-large-145x165,VK Реклама / ВКонтакте Тизер большое изображение,logo,candidateSelection,compact,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Плотное расположение элементов, рекомендуется уменьшить кегль описания"
case_076,case_076.png,avito-home-1320x492,Авито Реклама Баннер на главной 8:3,horizontal,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Графика и текст адаптированы под широкую пропорцию 8:3
case_077,case_077.png,avito-home-1320x492,Авито Реклама Баннер на главной 8:3,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Проблемы с читаемостью и коллизиями отсутствуют
case_078,case_078.png,avito-home-1320x492,Авито Реклама Баннер на главной 8:3,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Компоновка по схеме split выполнена корректно
case_079,case_079.png,avito-display-472x628,Авито Реклама Медийный стандарт 3:4,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Вертикальное соотношение сторон 3:4 выдержано полностью
case_080,case_080.png,avito-display-472x628,Авито Реклама Медийный стандарт 3:4,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Элементы распределены по высоте без нарушений safe-area
case_081,case_081.png,avito-display-472x628,Авито Реклама Медийный стандарт 3:4,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Ключевой композиционный элемент зафиксирован по центру
case_082,case_082.png,ozon-fresh-square,Ozon Performance Квадратный 1:1,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Искажений пропорций товарного баннера не зафиксировано
case_083,case_083.png,ozon-fresh-square,Ozon Performance Квадратный 1:1,square,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Сетка макета маркетплейса отработала в штатном режиме
